t,erro_l2_vs_estacionario
0.000000000000000000e+00,4.701579862897969919e-02
5.000000000000000278e-02,3.474751424401453098e-02
1.000000000000000056e-01,2.567392251128243486e-02
1.500000000000000222e-01,1.896311724325932743e-02
2.000000000000000111e-01,1.399982300448233442e-02
2.500000000000000000e-01,1.032898358989551776e-02
3.000000000000000444e-01,7.614040696306009250e-03
3.500000000000000333e-01,5.606076663513792288e-03
4.000000000000000222e-01,4.120992764127051101e-03
4.500000000000000111e-01,3.022630120326693162e-03
5.000000000000000000e-01,2.210286217440457241e-03
5.500000000000000444e-01,1.609481947347569811e-03
6.000000000000000888e-01,1.165133253648909656e-03
6.500000000000000222e-01,8.365007162233804123e-04
7.000000000000000666e-01,5.934548265133142647e-04
7.500000000000000000e-01,4.137138816383120667e-04
8.000000000000000444e-01,2.808027693278112810e-04
8.500000000000000888e-01,1.825460871278606549e-04
9.000000000000000222e-01,1.099665443071619483e-04
9.500000000000000666e-01,5.653390398381425260e-05
1.000000000000000000e+00,1.840745182878591158e-05
1.050000000000000044e+00,1.618286323294436987e-05
1.100000000000000089e+00,3.631588618883092932e-05
1.150000000000000133e+00,5.205610061390549681e-05
1.200000000000000178e+00,6.381148757203702795e-05
1.250000000000000000e+00,7.253677509672626139e-05
1.300000000000000044e+00,7.900125370068605401e-05
1.350000000000000089e+00,8.378698261468140829e-05
1.400000000000000133e+00,8.732866279317186937e-05
1.450000000000000178e+00,8.994906117163605039e-05
1.500000000000000000e+00,9.188764344921342229e-05
1.550000000000000044e+00,9.332164458156216738e-05
1.600000000000000089e+00,9.438239019220354489e-05
1.650000000000000133e+00,9.516696319725412322e-05
1.700000000000000178e+00,9.574729057249975353e-05
1.750000000000000000e+00,9.617650094078309916e-05
1.800000000000000044e+00,9.649397182181227231e-05
1.850000000000000089e+00,9.672876322995139326e-05
1.900000000000000133e+00,9.690243137869025735e-05
1.950000000000000178e+00,9.703086522719656820e-05
2.000000000000000000e+00,9.712586680652013208e-05
2.050000000000000266e+00,9.719612005160726859e-05
2.100000000000000089e+00,9.724808872018527958e-05
2.149999999999999911e+00,9.728651636816566383e-05
2.200000000000000178e+00,9.731494507968077091e-05
2.250000000000000000e+00,9.733596399011738810e-05
2.300000000000000266e+00,9.735151586034721991e-05
2.350000000000000089e+00,9.736301225458032175e-05
2.400000000000000355e+00,9.737152019591146580e-05
2.450000000000000178e+00,9.737780788823326725e-05
2.500000000000000000e+00,9.738246259333905197e-05
2.550000000000000266e+00,9.738590124441357432e-05
2.600000000000000089e+00,9.738844807320246651e-05
2.650000000000000355e+00,9.739032840724260397e-05
2.700000000000000178e+00,9.739172210502452804e-05
2.750000000000000000e+00,9.739275013440087622e-05
2.800000000000000266e+00,9.739351297085147268e-05
2.850000000000000089e+00,9.739407487064419939e-05
2.900000000000000355e+00,9.739449254548827829e-05
2.950000000000000178e+00,9.739479954107700503e-05
3.000000000000000000e+00,9.739502834633482640e-05
